percolation,avg_degree,betweenness,closeness,eigenvector,clustering,density,avg_kcore,persistence,wat_cc,cat_cc,an_cc,wat_deg,wat_bc,wat_ec,cat_deg,cat_bc,cat_ec,an_deg,an_bc,an_ec,dmba_hso_s1,dmba_hso_s2,dmba_hso_s3,hso_hso_s1,hso_hso_s2,hso_hso_s3,wat_kcore,cat_kcore,an_kcore,assortativity,degree_variance
0.9993055555555556,32.170138888888886,9240.28611111111,0.24398232232831754,0.012342051722393594,0.5280736470108831,0.011174066998572036,17.363888888888887,0.8415758229897463,0.22033824919695566,0.2654305158821382,0.26982227503722067,5.442361111111111,19.959722222222222,0.003275772465157125,40.87777777777778,12103.525,0.01669566061342633,76.91805555555555,24817.7,0.02612100134583379,2894.0,5689.0,17980.0,400.0,3728.0,8957.0,4.7659722222222225,28.856944444444444,31.066666666666666,-0.28663671852585987,1026.5988305362655
0.9996527777777777,32.28194444444444,9228.370833333332,0.24452443744440572,0.01233403153829431,0.5256052597965645,0.011212901856354445,17.42326388888889,0.8186335670954696,0.22088476506661336,0.26615027374306666,0.2701779459013295,5.459027777777778,23.969444444444445,0.0033060096161813403,41.109722222222224,11885.630555555555,0.016698443926612884,77.1,24979.91388888889,0.02602566299420167,2844.0,5683.0,18147.0,390.0,3746.0,8948.0,4.790277777777778,29.016666666666666,31.095833333333335,-0.28780783937153503,1033.2809239969135
1.0,32.2,9252.704861111111,0.24447577611485194,0.012185534618964546,0.527012112701397,0.011184439041333797,17.397916666666667,0.8269064872325742,0.22083498215066039,0.26614828570583393,0.27008485445225305,5.409027777777778,39.96666666666667,0.0032386194144040856,40.99722222222222,11963.847222222223,0.016544731212574736,76.98472222222222,24967.03888888889,0.025720168434475277,2856.0,5759.0,18066.0,395.0,3709.0,8936.0,4.751388888888889,29.018055555555556,31.070833333333333,-0.28913149283848955,1032.3669444444445
1.0,32.21111111111111,9274.274305555555,0.24393592404221698,0.012362132248829054,0.5220516436712616,0.011188298406082358,17.644444444444446,0.8315367368057951,0.22030551243586413,0.26547795708424077,0.26965471421289894,5.4375,75.91666666666667,0.0032880962538360285,40.84722222222222,12130.844444444445,0.016723497404793924,77.12222222222222,24814.419444444444,0.026148839082850234,2844.0,5754.0,18006.0,394.0,3736.0,9003.0,4.743055555555555,29.35972222222222,31.731944444444444,-0.2851080295255081,1029.7665432098765
1.0,32.19166666666667,9279.295138888889,0.24391994179631113,0.012291775994587594,0.5197820095637956,0.011181544517772375,17.408333333333335,0.8112002761239107,0.22023347114029737,0.2655029467214019,0.2697098781832479,5.425694444444445,99.88055555555556,0.003252786691496325,40.90694444444444,12056.983333333334,0.016629856914514168,77.00833333333334,24860.43611111111,0.026031673680843564,2857.0,5787.0,17960.0,393.0,3684.0,9027.0,4.739583333333333,29.03472222222222,31.119444444444444,-0.2850430024374263,1029.4375694444445
0.9993055555555556,32.02777777777778,9238.080555555556,0.24397761655650227,0.012282211614220571,0.52527710398044,0.011124618887731079,17.386805555555554,0.8305290546400694,0.22039475933457678,0.26560533750471627,0.26951561005213925,5.3590277777777775,39.93194444444445,0.0032559246349712226,40.82083333333333,12265.608333333334,0.01667956677482532,76.57222222222222,24606.85,0.025937430412114524,2853.0,5725.0,17997.0,383.0,3657.0,8936.0,4.697916666666667,29.04861111111111,31.102777777777778,-0.28969266789899784,1015.8985339506173
0.9996527777777777,32.09930555555555,9270.977777777778,0.24378938960388977,0.012311664994654303,0.5230050833274329,0.01114946354829995,17.42048611111111,0.8251087121130173,0.2201208246762277,0.2654973603567238,0.2694185487063798,5.394444444444445,75.89305555555555,0.003256763873533984,40.9,12060.8,0.016741801436467998,76.70833333333333,24871.325,0.025991330795081247,2852.0,5786.0,17966.0,408.0,3663.0,8935.0,4.7131944444444445,29.113888888888887,31.141666666666666,-0.2864456601415681,1019.6345828510802
0.9996527777777777,32.19027777777778,9238.4625,0.24432562590944648,0.012257903538942634,0.5227046930084559,0.011181062097178805,17.43923611111111,0.8220218319886095,0.22072890073192614,0.2658422179831155,0.2700024841908181,5.441666666666666,71.87361111111112,0.003302073818290421,40.9375,12101.011111111111,0.016576099594038263,76.94027777777778,24709.091666666667,0.025851366925151432,2892.0,5751.0,17962.0,404.0,3704.0,8962.0,4.7659722222222225,29.080555555555556,31.144444444444446,-0.28567255470520536,1024.8971277006174
0.9993055555555556,32.19861111111111,9247.740277777777,0.24400299339386394,0.012243425709322828,0.5246795797506973,0.011183956620740227,17.457638888888887,0.8312556614760817,0.22035716837532462,0.2655286537157162,0.2697689831090902,5.393055555555556,67.87638888888888,0.0032788631082568995,40.94305555555555,11850.502777777778,0.01658715623976664,77.06527777777778,25004.705555555556,0.025828820381010874,2877.0,5776.0,17928.0,410.0,3687.0,9041.0,4.725,29.15138888888889,31.229166666666668,-0.2856983845571754,1027.9473591820986
0.9996527777777777,32.12222222222222,9256.139583333334,0.24413676439434312,0.012283758101605447,0.5211633511272907,0.01115742348809386,17.445833333333333,0.8460740228294708,0.22058680214189189,0.26564653874101807,0.2697269145525707,5.388194444444444,75.88194444444444,0.003297902754906978,40.88194444444444,11737.630555555555,0.016640924469908825,76.83055555555555,25135.16388888889,0.025898302426699004,2865.0,5805.0,17911.0,411.0,3714.0,8925.0,4.720833333333333,29.122222222222224,31.219444444444445,-0.28762525838162045,1022.1690895061728
0.9993055555555556,32.201388888888886,9241.077083333334,0.2440590328579535,0.012251440186760398,0.5245852276871921,0.011184921461927367,17.474652777777777,0.8235065775285745,0.2203858674118263,0.2657139720928514,0.26975042451531,5.409722222222222,95.81666666666666,0.00331193167283135,41.07222222222222,11696.216666666667,0.016591029816782735,76.91388888888889,25076.458333333332,0.025790867584596158,2897.0,5762.0,18025.0,399.0,3721.0,8908.0,4.75625,29.177777777777777,31.208333333333332,-0.289181097376937,1024.0177758487657
1.0,32.11944444444445,9262.048611111111,0.24425793642326196,0.012320915344063042,0.5240896377892016,0.011156458646906718,17.440277777777776,0.8478984692553836,0.22079332807689064,0.26557133913899383,0.2698737504002727,5.448611111111111,55.93333333333333,0.0033088498599209044,40.86527777777778,11824.263888888889,0.01668520150354902,76.71527777777777,25112.06388888889,0.025980760152861344,2906.0,5747.0,17886.0,408.0,3712.0,8913.0,4.740277777777778,29.084722222222222,31.195833333333333,-0.28500782220122994,1016.2003163580248
